Città,eNb,Nomesito,Primorilevamento,Latitudine,Longitudine,Bande
"Termoli,    Molise",302353,Termoli Comignolo Corso Fratelli Brigida,25.06.18,42.003452,14.996597,~B1~~B3~
"Montenero Val Cocchiara,    Molise",302344,Montenero Val Cocchiara SP10,10.06.18,41.700563,14.064908,~B3~~B20~
"Civitanova del Sannio, Molise",302342,Bagnoli del Trigno Via Roma,08.06.18,41.699512,14.456875,~B3~~B20~
"Sesto Campano, Molise",302337,Sesto Campano Via S. Nicola,21.05.18,41.415612,14.081667,~B20~
"Isernia, Molise",302323,Isernia Via Maiorino,03.11.18,41.596809,14.234692,~B1~~B20~
"San Polo Matese, Molise",302295,Bojano Civita Superiore,17.06.18,41.477912,14.472587,~B3~
"Baranello, Molise",302293,Baranello SP53,22.07.18,41.522783,14.609412,~B1~~B3~~B20~
"Termoli, Molise",302267,Termoli ZI Contrada Greppe Di Pantano,02.07.18,41.950606,14.985134,~B3~
"Campobasso, Molise",302229,Campobasso SS710 Est,30.08.18,41.566806,14.681858,~B3~~B32~
"Campobasso, Molise",302214,Campobasso Ospedale C.da Tappino,13.08.18,41.543695,14.628114,~B20~
"Venafro, Molise",302201,Venafro Telecom Via dei Mulini,26.10.17,41.4826894,14.0434563,~B3~
"Matrice,    Molise",302182,Matrice SP56dir,11.01.18,41.616846,14.704860,~B20~
"San Giuliano del Sannio, Molise",302170,San Giuliano del Sannio C.da Serre,04.01.18,41.468174,14.647799,~B20~
"Termoli,    Molise",302161,Termoli C.da San Giovanni,01.10.17,42.0099630,14.8966064,~B1~~B3~~B20~
"Castropignano,    Molise",302158,Castropignano SS618,06.10.17,41.61445,14.56064,~B20~
"Roccaravindola, Molise",302148,Taverna Ravindola SP Roccaravindola,22.09.17,41.5275,14.12031,~B20~
"Filignano, Molise",302140,Filignano Collemacchia,08.12.19,41.55365744229,14.051791280508,~B20~
"Santa Maria delle Macchie, Molise",302102,Vinchiaturo Contrada Coste,13.10.18,41.478959,14.575409,~B20~
"Isernia,    Molise",302093,Isernia Via XXIV Maggio,14.12.17,41.60065,14.23697,~B1~~B3~
"San Pietro Avellana,    Molise",302090,San Pietro Avellana Loc. La Costa,05.08.17,41.7831037,14.1758800,~B20~
"Salcito,    Molise",302065,Salcito Contrada Perrone,11.11.17,41.737859,14.497975,~B3~~B20~
"Baranello,    Molise",302041,Busso Contrada Feudo,07.01.18,41.555472,14.545128,~B20~
"Pietrabbondante,    Molise",301940,Pietrabbondante Localit&agrave; Troccola,20.07.17,41.740378,14.381236,~B3~~B20~
"Ferrazzano,  Molise",301936,Mirabello Sannitico Contrada S. Giorgio,01.01.00,41.51328,14.67925,~B20~
"Piedimonte Matese,    Molise",301917,Campitello Matese c/o Hotel Lo Sciatore,26.07.17,41.46313,14.39013,~B20~
"San Martino in Pensilis,    Molise",301914,Ururi Via Monte Calvario,15.11.17,41.8157242,15.0002069,~B20~
"Santa Croce di Magliano,    Molise",301876,Santa Croce di Magliano Telecom Via Cupello,29.09.17,41.71008,14.98363,~B20~
"Pietracatella, Molise",301867,Pietracatella SS212,03.07.17,41.57583,14.87194,~B20~
"Montenero di Bisaccia, Molise",301861,Montenero di Bisaccia Municipio Via Beato Matteo,15.11.17,41.9568692,14.7809271,~B1~~B3~~B20~
"Larino,  Molise",301790,Casacalenda Loc. Cerro del Ruccolo,01.01.00,41.7235675,14.8909589,~B20~
"Isernia,  Molise",301765,Carpinone SP45 c/o Enel,01.01.00,41.5953265,14.2829509,~B3~
"Colli a Volturno,  Molise",301725,Colli a Volturno Monte Cervaro,01.01.00,41.60807,14.12097,~B3~~B20~
"San Giuliano di Puglia,  Molise",301720,Bonefro Loc. Colle della Difesa,01.01.00,41.6969226,14.9391648,~B20~
"Campomarino Lido,  Molise",301631,Campomarino Lido SP del Rettifilo,01.01.00,41.9497198,15.0591249,~B1~~B3~~B20~
"Campobasso,  Molise",301618,Campobasso C.da Coste di Oratino,01.01.00,41.5692358,14.6280370,~B7~~B3~~B20~
"Campomarino,  Molise",301605,Campomarino Contrada Marinelle,01.01.00,41.9623075,15.0416594,~B7~~B1~~B3~~B20~~B32~
"Acquaviva Collecroce,  Molise",301548,Castelmauro Parco delle Stelle,01.01.00,41.8371728,14.7196099,~B20~
"Isernia,    Molise",301539,Isernia SS17,09.08.17,41.59801,14.24868,~B7~~B1~~B3~
"Campobasso,  Molise",301518,Campobasso Via Grazia Deledda,01.01.00,41.5472611,14.6664906,~B7~~B1~~B3~
"Morrone del Sannio,  Molise",301517,Morrone del Sannio SP 64,01.01.00,41.7095496,14.7976443,~B20~
"Trivento,  Molise",301505,Trivento Via Acqua Santianni,01.01.00,41.760415,14.544453,~B3~~B20~
"Capracotta,  Molise",301497,Capracotta Via S.Maria delle Grazie,01.01.00,41.8340797,14.2643557,~B3~~B20~
"Larino, Molise",301464,Larino Via F. De Curtis,01.01.00,41.802193,14.922631,~B20~
"Campomarino,  Molise",301454,Campomarino C.da Buccaro/SC delle Vacche,01.01.00,41.9457564,15.0244036,~B3~~B20~
"Sant Elia a Pianisi,  Molise",301410,Sant&#039;Elia a Pianisi Telecom Via G. Caraccio,01.01.00,41.620552554727645,14.878531247377397,~B20~
"Venafro,  Molise",301381,Venafro Via Redenzione,01.01.00,41.4869809,14.0451749,~B3~~B20~
"Sant Elena sannita,  Molise",301380,Frosolone Loc. Colle Pulcino,01.01.00,41.5958933,14.4462751,~B3~~B20~
"Agnone,  Molise",301379,Agnone Largo Tirone,01.01.00,41.8066805,14.3644562,~B3~
"Campobasso,  Molise",301376,Campobasso Via Giuseppe Garibaldi,01.01.00,41.5643540,14.6590046,~B1~~B3~
"Gambatesa,  Molise",301375,Gambatesa Str. Frattone,01.01.00,41.5036319,14.9136856,~B3~~B20~
"Campodipietra,  Molise",301374,Jelsi Colle S. Pietro,01.01.00,41.5213092,14.7815533,~B20~
"Campomarino,  Molise",301308,San Martino in Pensilis SC Paglierini,01.01.00,41.8689863,15.0208846,~B20~
"Campobasso, Molise",301304,Campobasso Via Colle delle Api,09.12.18,41.584978,14.671903,~B3~~B32~
"Montagano,  Molise",301301,Montagano Contrada Piano Croce,01.01.00,41.6423794,14.6806937,~B20~
"Pozzilli,  Molise",301264,Pozzilli Via Atinense,01.01.00,41.5192188,14.0609876,~B3~
"Mirabello Sannitico,  Molise",301259,Cercemaggiore Via Bozza,01.01.00,41.4624523,14.7319937,~B3~
"Termoli,  Molise",301249,Termoli Albero Finto Via dei Mandorli,01.01.00,41.9688113,14.9914629,~B1~~B3~
"Riccia, Molise",301211,Riccia Telecom Via della Libert&agrave;,04.06.17,41.4857382,14.8341451,~B20~
"Campomarino Lido,  Molise",301076,Campomarino Lido Via Einaudi,01.01.00,41.9565598,15.0541585,~B7~~B1~~B20~
"Campomarino,  Molise",301075,Campomarino,01.01.00,41.956163866666664, 15.025889866666667,~B20~
"Campobasso,  Molise",301057,Campobasso Viale XXIV Maggio,01.01.00,41.5625541,14.6699628,~B1~~B3~
"Isernia,  Molise",301046,Isernia Auditorium Via Giovanni XXIII,01.01.00,41.5960815,14.2419651,~B1~~B3~
"Termoli,  Molise",301022,Termoli Colle della Torre,01.01.00,42.0086559,14.9494865,~B1~~B3~~B20~
"Termoli,  Molise",301006,Termoli Telecom ZI Via dei Gelsi,01.01.00,41.9757851,15.0050913,~B1~~B3~
"Termoli, Molise",301005,Termoli Telecom Via Madonna delle Grazie,01.01.00,41.996639,14.986437,~B1~~B3~~B20~
"Campobasso, Molise",301004,Campobasso Via IV Novembre,10.11.19,41.564583,14.670417,~B1~
"Campobasso, Molise",300994,Campobasso Via Monforte,31.08.19,41.559769,14.655397,~B1~~B3~
"Campobasso,  Molise",300960,Ripamolisani Via Giuseppe Ferro,01.01.00,41.5918099,14.6656218,~B3~~B20~
"Campobasso,  Molise",300925,Campobasso C.da San Nicola delle Fratte,01.01.00,41.5684725,14.6562765,~B1~~B3~~B20~
"Campobasso,  Molise",300924,Campobasso Via Colle delle Api,01.01.00,41.5752866,14.6749761,~B1~~B3~~B20~
"Montagano, Molise",300847,Limosano SP73a,16.09.18,41.680907,14.617235,~B20~
"Isernia, Molise",300840,Sant&#039;Agapito Cimitero,13.09.18,41.540534,14.224109,~B20~
"Termoli, Molise",300725,Termoli Comignolo Via Mario Pagano,28.11.18,41.999540,14.994822,~B1~~B3~
"Termoli, Molise",300692,Termoli C.da Punta Pizzo,09.09.18,41.987633,15.006219,~B1~~B20~
"Campobasso, Molise",300623,Campobasso Telecom Via Conte Rosso,09.11.19,41.551804,14.659336,~B1~~B3~~B20~
"Termoli, Molise",300614,Termoli Stadio,24.11.18,42.004562,14.984544,~B1~~B3~
"Campobasso,  Molise",300611,Campobasso Via Puglia,01.01.00,41.558676,14.674206,~B1~~B3~
"Miranda,  Molise",300567,Isernia C.da Colle Martino,01.01.00,41.64209,14.20602,~B1~~B20~
"Sessano del Molise,  Molise",300566,Sessano del Molise Pescocupo,01.01.00,41.645059,14.320788,~B20~
"Rionero Sannitico,  Molise",300565,Rionero Sannitico Loc. Caprara,01.01.00,41.707764,14.148159,~B20~
"Pescolanciano,  Molise",300564,Pescolanciano Campo Sportivo,01.01.00,41.6810797,14.3347602,~B20~
"Castelpetroso,  Molise",300382,Castelpizzuto Monte Patalecchia,01.01.00,41.5399519,14.3096299,~B3~~B20~
"Isernia,  Molise",300381,Isernia Contrada Colle Pagano,01.01.00,41.611804,14.230149,~B1~~B3~~B20~
"Isernia,  Molise",300380,Isernia Telecom Via Matteotti,01.01.00,41.592817,14.230375,~B1~~B3~~B20~
"Civitanova del Sannio,  Molise",300379,Civitanova del Sannio SP74,01.01.00,41.671606,14.414666,~B20~
"Carpinone,  Molise",300378,Carpinone Loc. Colle Caracciolo,01.01.00,41.587669,14.326488,~B20~
"Termoli, Molise",300354,Termoli Villaggio degli Ulivi,01.01.00,41.992951,14.973884,~B3~~B20~
"Montenero di Bisaccia, Molise",300341,Marina di Montenero SS16,01.01.00,42.062213,14.783519,~B7~~B1~~B3~~B20~~B32~
"Ripamolisani, Molise",300275,Ripamolisani Cimitero,01.01.00,41.603859,14.660417,~B3~
"San Giacomo degli Schiavoni, Molise",300267,San Giacomo degli Schiavoni SS 483,01.01.00,41.959262,14.944796,~B3~
"Agnone, Molise",300251,Agnone Cimitero,01.01.00,41.80442,14.377892,~B20~
